"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0011",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0019",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0029",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0016",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0017",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0025",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0024",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0021",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0001",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0026",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0005",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0027",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0028",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0009",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0008",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0007",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"c72a384d64a1a7d58c56ec4e7d2ea277","S00PP-0006",0,"teria","micutes","stridia","hnospirales","hnospiraceae","enbergiella"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0002",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0015",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0003",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0004",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0029",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"caa2afe37f56d88a6258631ba289e9f7","S00PP-0016",0,"teria","micutes","stridia","illospirales","illospiraceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0002",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0019",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0008",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0004",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0009",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0021",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0003",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cc123101a9c3b4bab74a5a3407e5d5be","S00PP-0007",0,"teria","teroidota","teroidia","teroidales","votellaceae","ultured"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0012",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0015",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0009",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
"cd3628f9907206ae4649dd3f2679b258","S00PP-0019",0,"teria","micutes","illi","tobacillales","eptococcaceae","eptococcus"
